Trans #,Type,Date,Num,P. O. #,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Clr,Split,Pay Meth,Qty,Debit,Credit,Amount,Balance,Account Type,Tax Amount
"362,262",Bill,01/07/2023,362262,,S & L Hill Super Fund - Macquarie Super,S & L Hill Super Fund - Macquarie Super,,01/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"23,480.00","-23,480.00",#REF!,Accounts Payable,
"362,262",Bill,01/07/2023,362262,,S & L Hill Super Fund - Macquarie Super,S & L Hill Super Fund - Macquarie Super,Rent July,01/07/2023,,1985 · Rent - 535 Boat Harbour Drive,,NCG,,1282 · Accounts Payable,,,"6,345.45",,"6,345.45",#REF!,Expense,634.55
"362,262",Bill,01/07/2023,362262,,S & L Hill Super Fund - Macquarie Super,S & L Hill Super Fund - Macquarie Super,Rent July,01/07/2023,,1981 · Rent - 231 M/B H/B Road,,NCG,,1282 · Accounts Payable,,,"15,000.00",,"15,000.00",#REF!,Expense,"1,500.00"
"362,262",Bill,01/07/2023,362262,,S & L Hill Super Fund - Macquarie Super,S & L Hill Super Fund - Macquarie Super,,01/07/2023,,1977 · Land Tax,,NCG,,1282 · Accounts Payable,,,,,,#REF!,Expense,
"362,262",Bill,01/07/2023,362262,,Australian Tax Office,S & L Hill Super Fund - Macquarie Super,Non-Cap. Acq. - Inc GST,01/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,"2,134.55",,"2,134.55",#REF!,Other Current Liability,
"362,264",Bill,01/07/2023,362264,,Lyn Hill,Lyn Hill,,01/07/2023,,1282 · Accounts Payable,,,,1396 · Dividends Paid,,,,"15,000.00","-15,000.00",#REF!,Accounts Payable,
"362,264",Bill,01/07/2023,362264,,Lyn Hill,Lyn Hill,Dividend July,01/07/2023,,1396 · Dividends Paid,,,,1282 · Accounts Payable,,,"15,000.00",,"15,000.00",#REF!,Equity,0
"362,265",Bill,01/07/2023,362265,,Stephen Hill,Stephen Hill,,01/07/2023,,1282 · Accounts Payable,,,,1396 · Dividends Paid,,,,"15,000.00","-15,000.00",#REF!,Accounts Payable,
"362,265",Bill,01/07/2023,362265,,Stephen Hill,Stephen Hill,July Dividend,01/07/2023,,1396 · Dividends Paid,,,,1282 · Accounts Payable,,,"15,000.00",,"15,000.00",#REF!,Equity,0
"363,318",Bill,03/07/2023,363318,,UHI Investments Pty Ltd,UHI Investments Pty Ltd,,03/07/2023,,1282 · Accounts Payable,,,,1396 · Dividends Paid,,,,"10,000.00","-10,000.00",#REF!,Accounts Payable,
